expertise_segment,preferred_roast_level,respondents,segment_percentage
Beginner,Medium,293,49.8
Beginner,Light,157,26.7
Beginner,Dark,100,17.0
Beginner,Blonde,23,3.9
Beginner,Italian,7,1.2
Beginner,French,6,1.0
Beginner,Nordic,2,0.3
Intermediate,Medium,782,43.9
Intermediate,Light,721,40.5
Intermediate,Dark,205,11.5
Intermediate,Blonde,36,2.0
Intermediate,Nordic,14,0.8
Intermediate,French,12,0.7
Intermediate,Italian,11,0.6
Advanced,Light,815,57.2
Advanced,Medium,449,31.5
Advanced,Dark,95,6.7
Advanced,Nordic,45,3.2
Advanced,Blonde,15,1.1
Advanced,Italian,4,0.3
Advanced,French,3,0.2
Expert,Light,78,61.4
Expert,Medium,25,19.7
Expert,Nordic,16,12.6
Expert,Dark,7,5.5
Expert,Italian,1,0.8
