work_from_home,cups_per_day,respondents
I do a mix of both,2,372
I do a mix of both,1,298
I do a mix of both,3,115
I do a mix of both,Less than 1,61
I do a mix of both,4,26
I do a mix of both,More than 4,11
I primarily work from home,2,674
I primarily work from home,1,521
I primarily work from home,3,178
I primarily work from home,Less than 1,139
I primarily work from home,4,52
I primarily work from home,More than 4,27
I primarily work in person,2,434
I primarily work in person,1,342
I primarily work in person,3,117
I primarily work in person,Less than 1,104
I primarily work in person,4,32
I primarily work in person,More than 4,19
